,Cumberland,Oak Park-Lake,Austin-Lake,Ashland-Lake,Clinton-Lake,Grand/Milwaukee,Chicago/Milwaukee,Damen/Milwaukee,California/Milwaukee,Belmont-O'Hare,Montrose-O'Hare,Chicago/Franklin,Western-Ravenswood,Francisco,Addison-Ravenswood,Paulina,Damen-Ravenswood,Montrose-Ravenswood,LaSalle/Van Buren,State/Lake,Lake/State,Harrison,Jefferson Park,87th,79th,47th-Dan Ryan,Sox-35th-Dan Ryan,Cermak-Chinatown,Cottage Grove,King Drive,Halsted/63rd,Ashland/63rd,47th-South Elevated,Roosevelt/Wabash,O'Hare Airport,Lawrence,Belmont-North Main,North/Clybourn,Loyola,Noyes,Howard,Berwyn,Kedzie-Lake,Morse,Diversey,35-Bronzeville-IIT,Main,Granville,Thorndale,Wellington,Fullerton,Dempster-Skokie,Davis,Dempster,Washington/Dearborn,43rd,Indiana,Irving Park-O'Hare,Cicero-Lake,Monroe/Dearborn,Quincy/Wells,Argyle,Kimball,Kedzie-Ravenswood,Irving Park-Ravenswood,Racine,Illinois Medical District,Western-Congress,Austin-Congress,Cicero-Congress,Library,Logan Square,69th,51st,Midway Airport,Kedzie-Midway,Ashland-Midway,Halsted-Midway,18th,Damen,Western-Douglas,Central Park,Pulaski-Douglas,Kostner,Cicero-Douglas,Morgan,Oakton-Skokie,Cermak-McCormick Place,Washington/Wabash,Chicago/State,Grand/State,Sedgwick,Rockwell,Pulaski-Congress,Oak Park-Congress,Harlem-Congress,Pulaski-Midway,Kedzie-Homan,Forest Park,Monroe/State,Harlem-O'Hare,Ridgeland,Laramie,California-Lake,Western/Milwaukee,Addison-O'Hare,Garfield-South Elevated,Western-Midway,35th/Archer,Polk,California-Douglas,Kedzie-Douglas,54th/Cermak,UIC-Halsted,Clinton-Congress,LaSalle,Wilson,Armitage,Central-Lake,Pulaski-Lake,Central-Evanston,Foster,Conservatory-Central Park,Sheridan,Addison-North Main,Clark/Lake,Jackson/Dearborn,Clark/Division,Linden,South Boulevard,Jarvis,Bryn Mawr,Merchandise Mart,Washington/Wells,Southport,Adams/Wabash,Jackson/State,Rosemont,Harlem-Lake,Division/Milwaukee,95th/Dan Ryan,63rd-Dan Ryan,Garfield-Dan Ryan,Damen-Lake
Cumberland,1.0,0.9091941788502169,0.9764973331316035,0.9782943260058143,0.9652096482220163,0.9380036114469562,0.9553174582868146,0.9110172915996709,0.90823855079087,0.9398486455716045,0.9757647835693394,0.9469175327510546,0.9180245939194599,0.9452050076859453,0.9353467166662117,0.9032387237804097,0.9331908700962142,0.94554862590891,0.982105433811786,0.9732304171601063,0.9700850021726241,0.9778482723328954,0.9748167624899494,0.9932219359269785,0.985022240058607,0.9888624525895252,0.9797764615734501,0.9834898337050069,0.9563179133708168,0.9743475409053135,0.941968774747957,0.9715601956690654,0.9765471175399061,0.9416782752836167,0.9091941788502169,0.9450018961845784,0.8895366528494391,0.9489159269176346,0.9735027968640432,0.9091941788502169,0.971002945783462,0.917392596394519,0.9578097670105205,0.9194057386202104,0.9350714946595978,0.9640357427204388,0.9091941788502169,0.8457277801584541,0.8357432018962583,0.9250515915059558,0.8491058347904287,0.9091941788502169,0.9091941788502169,0.9091941788502169,0.982709414385676,0.9654172045573475,0.9503646217773536,0.9630047121759842,0.9441348981961155,0.9217774095359073,0.9585015611367708,0.9311757438301604,0.9521384253725533,0.9098900530873759,0.9377976365258754,0.969854834972775,0.9775149453461226,0.9672075911862847,0.9611273572638896,0.9474758635183244,0.9871524173318806,0.9138770220177356,0.9773525543742516,0.9765889042362422,0.9549561612066341,0.9155869418825494,0.9911233402805072,0.9646713264234871,0.9822844154512878,0.9787871953989129,0.9492346438588859,0.9653388870882955,0.975236298762777,0.9967908103986853,0.9637716592857974,0.9543927496432418,0.9091941788502169,0.9519779722020746,0.9569847008755019,0.8911454296563184,0.9440568858811187,0.8550189938554581,0.9027638622265733,0.952641593377797,0.9091941788502169,0.9091941788502169,0.9647916043226429,0.9806535267920833,0.9091941788502169,0.982709414385676,0.9842547028400873,0.9091941788502169,0.9480131925650269,0.974097142281027,0.9370481984451401,0.9578356822649133,0.9754022483520445,0.9702378675698323,0.9753964045965617,0.9365399553379534,0.9794286454413353,0.9811168282389032,0.9091941788502169,0.9534124076060222,0.9465836711207614,0.982105433811786,0.9056761880249534,0.8616442126676103,0.95743115925613,0.971651901505533,0.9091941788502169,0.9091941788502169,0.8929816207310911,0.9400800452504742,0.9235434590664552,0.9217774095359073,0.9587849071737617,0.7279530603521653,0.9091941788502169,0.9091941788502169,0.9323344748039024,0.8831309230729694,0.9537266263782307,0.9217774095359073,0.920404168287511,0.9548478459122859,0.9311430142363214,0.9091941788502169,0.9091941788502169,0.9185761965557627,0.9776441054676765,0.9807692902825043,0.9589562457558081,0.9822788196690726
Oak Park-Lake,0.9091941788502169,1.0,0.8909492670369319,0.9566101472022314,0.8957467102991814,0.8960552303393321,0.9003790006032696,0.8567218038170985,0.8368876593387663,0.8952332544090698,0.9342045644666264,0.8565120698579335,0.8294283385265281,0.8580610041216715,0.8768965230632594,0.8547234295573468,0.8237030404755622,0.8662072001516927,0.8706761040580514,0.9104532692265946,0.8664269538303618,0.850997381828071,0.9248053754310468,0.9249598565002685,0.9072785745248316,0.9031292509644763,0.8872123973475148,0.9129973823403268,0.8125303881391497,0.9257812125703779,0.9452144409954678,0.878204704412737,0.8967019891906953,0.8089447008630063,1.0,0.8886662313321935,0.8142617303213627,0.8557613009961832,0.8871650136370672,1.0,0.8639276797648137,0.8264798895886554,0.809142386420873,0.821046715133327,0.8724026964365416,0.8458670255033015,1.0,0.7711374519762403,0.7512148295635546,0.8506983991408403,0.7749956611325882,1.0,1.0,1.0,0.84033457358083,0.9203973640388478,0.8857984385558321,0.869502075387735,0.862032602609784,0.7691457239990565,0.8411374361921776,0.8552007129597514,0.8753776045237023,0.829981013754916,0.8886593289325652,0.8757929765730462,0.8674730188716129,0.9322619168368108,0.9278038780698715,0.7813820475315245,0.8943001694083867,0.8630402939708524,0.9170807201383449,0.8963722048553658,0.8806266818615719,0.8907655927182273,0.8948607965193248,0.9443887696665851,0.8874212282661864,0.8968240449088031,0.9392155742104049,0.8577158321332222,0.8532890846946946,0.9165557547565772,0.9506497379933944,0.8806423056319389,1.0,0.7938209169600275,0.9102652657127304,0.806855731361538,0.8836147337885345,0.7760982894630193,0.8350584725798679,0.904946699510153,1.0,1.0,0.898977940131587,0.9003185079412616,1.0,0.84033457358083,0.8917975573483895,1.0,0.8490657681907382,0.9395589559124823,0.8822994170176918,0.8363611002410811,0.9579904398380397,0.9166235171682202,0.9350266248406912,0.7926690183301456,0.8831662235763422,0.8770976876995183,1.0,0.8967375286726357,0.9014520633422951,0.8706761040580514,0.8641982913809864,0.789881804812811,0.8903682183872151,0.9530130794894013,1.0,1.0,0.8395869673070636,0.8720976114696369,0.8652998621403606,0.7691457239990565,0.8906345507014403,0.6372023246886008,1.0,1.0,0.8327301952607942,0.8231972759300116,0.8460842549323159,0.7691457239990565,0.8600901282724437,0.8842700793804893,0.8636209012897992,1.0,1.0,0.8325630724060867,0.924294628728433,0.9232034806918973,0.8342518656609877,0.9142804614219061
Austin-Lake,0.9764973331316035,0.8909492670369319,1.0,0.9701307517109722,0.9785418665703973,0.9439298315255874,0.9636098247780789,0.9683761070099578,0.9718783428549456,0.9847298846172626,0.9846410556585155,0.9808484040830796,0.9767719168838505,0.9907260081122586,0.9718157186258717,0.9591776927505331,0.9693799831628788,0.9862780303685036,0.9813199026127297,0.9741865449926475,0.9560953105531349,0.984261822959001,0.9850553711421209,0.9813288377221699,0.9823939358937614,0.9788546782095512,0.9780752241823689,0.9874237378998231,0.9611661569262788,0.9785231175826357,0.9375314323290703,0.988028176781667,0.9984439787659948,0.9717535737645401,0.8909492670369319,0.9865653793712688,0.9601747943165315,0.9739686681861794,0.9947912026431569,0.8909492670369319,0.9951607811340347,0.9756423831335892,0.972467464328145,0.9736062638987387,0.9805109567962054,0.9618069169515847,0.8909492670369319,0.9218594201471846,0.9153451303895681,0.9786190829236951,0.909253809089626,0.8909492670369319,0.8909492670369319,0.8909492670369319,0.9535933620341464,0.9827971835466641,0.9756666933864241,0.9792133120880194,0.9647105853583278,0.8730741900107254,0.9371452710588342,0.9828111356184132,0.9886010612587101,0.970636163599153,0.9742666604349987,0.995180928102243,0.9779980234819626,0.9905075932134744,0.9865065614519059,0.9448030860023,0.9871791403409883,0.9733583467853978,0.9825862704590789,0.9961455915352468,0.977674562808471,0.9143478515135037,0.9827212267601227,0.9513855404552278,0.9970613686541234,0.9944136634742737,0.9383819304168749,0.9921837510201404,0.9751522791422366,0.9839464402858005,0.9643543961968959,0.9685175837717518,0.8909492670369319,0.9338249211300659,0.9524254383226057,0.9586892043547084,0.9760266089092917,0.9350231685120177,0.9694593927503058,0.987652290941446,0.8909492670369319,0.8909492670369319,0.9862095419309361,0.9967775021773941,0.8909492670369319,0.9535933620341464,0.9862110580545511,0.8909492670369319,0.9848721764546202,0.9826586294225809,0.972414194990362,0.9901665758754856,0.9725655876629024,0.9540592466710875,0.9879472253838602,0.9464322903460217,0.9935829303931915,0.989263944722453,0.8909492670369319,0.9534662382263549,0.9408146557888307,0.9813199026127297,0.9647962509562036,0.9190260222151252,0.9790053271396844,0.971796773390618,0.8909492670369319,0.8909492670369319,0.8924756803508265,0.9859655316156318,0.9757994889898297,0.8730741900107254,0.9490440159891885,0.8305308233156912,0.8909492670369319,0.8909492670369319,0.9815253457754345,0.9504742581083212,0.9519473780053368,0.8730741900107254,0.9658829125598312,0.9605511666580056,0.9200741438285109,0.8909492670369319,0.8909492670369319,0.9769749819699783,0.9833718425468774,0.9825457310579424,0.9553491757938494,0.9853381261972342
Ashland-Lake,0.9782943260058143,0.9566101472022314,0.9701307517109722,1.0,0.9795293071659613,0.9725164039951625,0.9823213957943997,0.9422667055307236,0.9273535070129978,0.9628795394417007,0.9915255011437644,0.9550416117219148,0.9242720776353939,0.9519566233110601,0.965646137578561,0.940160597588732,0.9337967364567523,0.9551278732096705,0.9676647987585533,0.9834800787320729,0.9621629494512682,0.9545760628021421,0.9874727759619695,0.9818251342340332,0.9760537278119137,0.9663835180510013,0.9726656332777499,0.9854816626766596,0.9090377098970682,0.9720014858375595,0.9535607438752637,0.9453986133662919,0.9721174173379079,0.9257664862003218,0.9566101472022314,0.958954744402632,0.908084360835502,0.9548782773665191,0.9728300696089318,0.9566101472022314,0.9546870244690323,0.9157372266181921,0.9131995310837691,0.9078463319305594,0.9592888757278814,0.9425342092161911,0.9566101472022314,0.8455465881392665,0.8315038838127332,0.9437017067867406,0.8915318987884568,0.9566101472022314,0.9566101472022314,0.9566101472022314,0.9468825404735426,0.9802480542649037,0.9526974282145104,0.961270665465012,0.9335262857554558,0.8847756133193635,0.9445993110868097,0.9340796914090055,0.9536676358044152,0.9150949827466027,0.9698573319804009,0.9687715047184957,0.9511317436956402,0.982750778740579,0.9814952730604293,0.8896364163745801,0.9801324010693298,0.9393142446361026,0.9714159593167154,0.9699174435774918,0.9483397942339947,0.9120241583265999,0.9764718336766568,0.991861421334785,0.9719086461530074,0.9720366937148619,0.9573970110946791,0.9411676588299115,0.9391271439044339,0.9850404005787361,0.9818091833506921,0.9742210769401166,0.9566101472022314,0.9051766427075025,0.9781407776535352,0.9062125212640835,0.9656024441418404,0.8827721955765772,0.9150442511618021,0.9607222240943805,0.9566101472022314,0.9566101472022314,0.961370299148775,0.9733744405467418,0.9566101472022314,0.9468825404735426,0.9747504362688125,0.9566101472022314,0.9293353821217007,0.9862731103511992,0.9680713288156473,0.9403536893034199,0.9934018483588566,0.9781183179945439,0.9909442740859262,0.908881448610585,0.9649528361784158,0.9588580555490955,0.9566101472022314,0.9761692948924549,0.9700215786030969,0.9676647987585533,0.9260678070812104,0.9032730516781813,0.9561253713663725,0.9910906058557069,0.9566101472022314,0.9566101472022314,0.8769521578934579,0.9581315439734651,0.9490568808633125,0.8847756133193635,0.9701160848319917,0.7309617441030327,0.9566101472022314,0.9566101472022314,0.9221452298136081,0.8915945826023529,0.9535051491676826,0.8847756133193635,0.952255599976771,0.9765272968867681,0.9569432147596864,0.9566101472022314,0.9566101472022314,0.9282330873406449,0.973925777984922,0.9787684980045035,0.9173858760949962,0.9888920599822432
Clinton-Lake,0.9652096482220163,0.8957467102991814,0.9785418665703973,0.9795293071659613,1.0,0.9891066001380987,0.993965237002915,0.9746990030841556,0.9622578980647467,0.9804215148860002,0.9857501774362915,0.9916223029522166,0.9560651643016185,0.9770685023263149,0.9862830975648005,0.973390305809317,0.952000284596214,0.9746906693277585,0.9895523225070546,0.9954117318893289,0.9861958419457177,0.9803551169899781,0.9938481373336089,0.9574486802623395,0.9782102404624198,0.944363729797897,0.968727390878605,0.9812960343010986,0.9097308410454921,0.9615808902294477,0.9248235522340768,0.9400846858368651,0.9817280990835757,0.974159135890418,0.8957467102991814,0.9825052248877556,0.9531881324001534,0.9582789446742918,0.9908901566910282,0.8957467102991814,0.9769542194178883,0.9491101140343967,0.9221321722779715,0.944240954933049,0.9822594136240401,0.9432982234387062,0.8957467102991814,0.8939621915619489,0.8829767668861217,0.9746237171812319,0.9365397449941378,0.8957467102991814,0.8957467102991814,0.8957467102991814,0.9579044436567371,0.9865037546000331,0.9606169560283492,0.9557930726696292,0.9368237325444465,0.9137708336613765,0.9736700918603214,0.9638390758421919,0.980527213164494,0.9568352588189474,0.9857163780811484,0.9835448325848866,0.9401100613456651,0.9827040116174203,0.9780594563527465,0.888717941369768,0.9881463302952302,0.9700993728057946,0.9592844737821881,0.9660468108989502,0.9537859460624009,0.8846718809441432,0.9641651536571693,0.9834952744979687,0.9813076529014173,0.9838443487182158,0.9374555345609421,0.9521887246610861,0.9333937837505041,0.9705946553082349,0.9603874727987177,0.9909286134609252,0.8957467102991814,0.9004034237449869,0.9871854958301649,0.9550427560280971,0.9951121456286529,0.9379636016188317,0.9491945931767082,0.9658888288358692,0.8957467102991814,0.8957467102991814,0.9610254862775282,0.9766554052181621,0.8957467102991814,0.9579044436567371,0.9680838238179252,0.8957467102991814,0.9471819666477697,0.974895831216011,0.9875950469275252,0.958604276091699,0.9744610914064188,0.980572256811562,0.990577348781941,0.9093476403419684,0.9728956855980602,0.9532666166758066,0.8957467102991814,0.9932114324907302,0.9863118115788279,0.9895523225070546,0.9584479308134728,0.9474991734200529,0.9616026043975188,0.9745918196595287,0.8957467102991814,0.8957467102991814,0.860610553189335,0.9839580468574071,0.9799533562369387,0.9137708336613765,0.9833783884340445,0.8038836104319491,0.8957467102991814,0.8957467102991814,0.9565499819687389,0.9300136087822601,0.9875310347803605,0.9137708336613765,0.9827719169246737,0.9879832126491974,0.9751497844924225,0.8957467102991814,0.8957467102991814,0.9649820839041459,0.9605899971102534,0.9628791389909821,0.8984425064999281,0.9817646048186097
Grand/Milwaukee,0.9380036114469562,0.8960552303393321,0.9439298315255874,0.9725164039951625,0.9891066001380987,1.0,0.9958639648812669,0.9571658639732831,0.9315922679869204,0.9592640836609342,0.9729044959519744,0.9686731778868821,0.9167133060965988,0.9478706368281695,0.9767221757639224,0.9601783818391924,0.9190786576370878,0.9427122798831774,0.966821682388777,0.9869815495243152,0.9748812166109008,0.9467006548063721,0.9793144235251388,0.9286266455053369,0.9568328888778789,0.9098056868167362,0.9402417284939338,0.9613508788140318,0.8521969992955998,0.9330695766457402,0.9080190241967698,0.8902972289215686,0.9468348111339508,0.939906743456864,0.8960552303393321,0.9543889888473598,0.9210874242540572,0.9376129261131725,0.9618478674631415,0.8960552303393321,0.9373297047104476,0.9019398603608094,0.8670012802131053,0.893915394394679,0.962778687726676,0.9054413543347187,0.8960552303393321,0.8387033803683653,0.8242358906024441,0.948479749770154,0.936892746509583,0.8960552303393321,0.8960552303393321,0.8960552303393321,0.9308588912116524,0.9721718037547096,0.9380483760098638,0.928128990842243,0.9081551660662271,0.9023467404954427,0.9654014305198257,0.9221147860617784,0.9467173382717717,0.9175984579684666,0.9751494144279188,0.9536524070131811,0.9028149020804054,0.9587644303062434,0.9603601514725124,0.8330736991661543,0.9688214489450495,0.9433900270395369,0.929421460983743,0.9317979712079163,0.9251646589207717,0.8634720398614248,0.9370630782332103,0.9878145223067062,0.9466070837614501,0.9534089036651193,0.9240914705240669,0.9033894363227222,0.8885251949157226,0.9461493573497712,0.950237145125609,0.9890469014000257,0.8960552303393321,0.8562773558367762,0.991712097620147,0.9208905324797404,0.9815425060777886,0.9149605249283711,0.909389306001285,0.935551010856472,0.8960552303393321,0.8960552303393321,0.9315644422823266,0.9407039068035654,0.8960552303393321,0.9308588912116524,0.942221254759933,0.8960552303393321,0.903329129424184,0.957918714800819,0.9783244008644945,0.9193520852147862,0.9631861957164528,0.9789916970669166,0.9740055634634074,0.870080021258911,0.9410502280214246,0.9109078679243422,0.8960552303393321,0.997924843800101,0.9935456876606481,0.966821682388777,0.9259569709691032,0.9474843409401825,0.934213659366089,0.964745865103073,0.8960552303393321,0.8960552303393321,0.8370327613042527,0.9597158872510634,0.9590423979321635,0.9023467404954427,0.9871687040259419,0.7455106127067005,0.8960552303393321,0.8960552303393321,0.9090874508937503,0.8843990576853307,0.9795973479902421,0.9023467404954427,0.9719432044042595,0.9893712482777512,0.989765754467965,0.8960552303393321,0.8960552303393321,0.9301476920615781,0.9337783277756598,0.9389516804880916,0.8523208359376694,0.962112659464928
Chicago/Milwaukee,0.9553174582868146,0.9003790006032696,0.9636098247780789,0.9823213957943997,0.993965237002915,0.9958639648812669,1.0,0.9674422446506343,0.9479673042459945,0.9696963493025501,0.9830804519066778,0.9779349037585603,0.9383746291177676,0.965693110747079,0.9880774027614119,0.9687628060975958,0.9478294794583836,0.9633493788009204,0.9761656423954755,0.989266010581738,0.9766935221658614,0.9616600337112096,0.9852272341799336,0.9512366491361444,0.966283093019576,0.9349930424882911,0.9638206801083967,0.9772908567931144,0.8877436732370569,0.9470352875152294,0.9149761812961729,0.9176766427377846,0.9648074112906001,0.9519464026879321,0.9003790006032696,0.9643424090146842,0.9348524694183526,0.9631130360402318,0.9765324479394103,0.9003790006032696,0.9550576091449678,0.9233854733937034,0.9007204724538127,0.9123977794255191,0.9771096783234938,0.9338477841946482,0.9003790006032696,0.8538576195640928,0.841682699329131,0.9643285920103385,0.9472317357494551,0.9003790006032696,0.9003790006032696,0.9003790006032696,0.9468493267955085,0.978105876135914,0.9489969409191906,0.9571130419152335,0.924367686570983,0.9034988066933778,0.9645417769380289,0.9385179555795389,0.958303746399956,0.930016558886138,0.9870053766182865,0.9737674245257909,0.931383921034358,0.970576954901225,0.9729196809664211,0.8711089759953956,0.9808234737935506,0.9550077022182278,0.947400469900827,0.9555866106032137,0.9392949689329729,0.8748306096714354,0.9609877429581425,0.9869695544103824,0.9663892720006069,0.9667393314656678,0.9264021479564003,0.9285271717116057,0.9175951253346466,0.96492008203795,0.9582632242463683,0.9961853117496682,0.9003790006032696,0.8919978084597573,0.9883638191397314,0.9350675638159788,0.9853448079994694,0.9267830997513166,0.926191409840026,0.9497961662323933,0.9003790006032696,0.9003790006032696,0.9475950132293846,0.9608781799565873,0.9003790006032696,0.9468493267955085,0.9646236398217355,0.9003790006032696,0.9228164123745166,0.9690047257554723,0.9889700167932647,0.9449818145826322,0.9714409765263683,0.9768301215046533,0.9829552855460336,0.9076717872308822,0.9583553554125662,0.9396632168069387,0.9003790006032696,0.9951614337093154,0.9854623292103621,0.9761656423954755,0.933619517670638,0.9563625714837324,0.9476927754565723,0.9723502972502448,0.9003790006032696,0.9003790006032696,0.8477711067010991,0.9735246818584586,0.9695657643586743,0.9034988066933778,0.9841548994269376,0.7622700519607917,0.9003790006032696,0.9003790006032696,0.9276776144980117,0.8974380746058765,0.9813030063960352,0.9034988066933778,0.9812204010271526,0.9968093833181811,0.9866379698729197,0.9003790006032696,0.9003790006032696,0.9474999075124082,0.9494350254224158,0.9565269495508717,0.8875495234216544,0.9810958611481877
Damen/Milwaukee,0.9110172915996709,0.8567218038170985,0.9683761070099578,0.9422667055307236,0.9746990030841556,0.9571658639732831,0.9674422446506343,1.0,0.9948927604633244,0.9906504810994184,0.9609956569968179,0.9869529259356725,0.9844195308596941,0.988428644663806,0.9917294980407905,0.9984334401557263,0.9620434148174778,0.9851349140518854,0.9488537236762551,0.9562987584642182,0.930344146412766,0.9483611433876495,0.9668531698309113,0.9190605383423289,0.9372922702697889,0.9069779708066293,0.9399418013140192,0.9515449933711275,0.8875776276737992,0.9296355158661977,0.8860388493788953,0.9263618757372342,0.9691904196945165,0.9630580947348832,0.8567218038170985,0.9860945425449706,0.9913612338549608,0.9560900240098863,0.9761808505684046,0.8567218038170985,0.9640490801165326,0.9738297873837515,0.9074304642227679,0.9618940651450448,0.9965912494575914,0.9163271131665236,0.8567218038170985,0.9345106120283181,0.9270150481424917,0.9965866864890925,0.9699286539991635,0.8567218038170985,0.8567218038170985,0.8567218038170985,0.8943389604593134,0.9660393788160372,0.9473319975393371,0.9471866829947041,0.9195994795194973,0.8261750954176096,0.9093465746711297,0.9785986820859152,0.9791574741919186,0.9804737121292677,0.9920140247118963,0.9766299001544909,0.9116993017428783,0.9728115922719582,0.9708515676567919,0.8603262995447652,0.951225721970162,0.995508026611738,0.9305646430336897,0.9552428071032836,0.9384716487840546,0.8498099784849386,0.927958540587057,0.9357294847772818,0.9614734418474149,0.9606468771476673,0.8888191910398191,0.9439888803634977,0.902067446318463,0.9277234730729292,0.9282790326193371,0.9692241863008316,0.8567218038170985,0.8602124582434104,0.9421063884319572,0.9877274675870246,0.9873471876008247,0.9874111054861022,0.9837705267616518,0.9650817987739719,0.8567218038170985,0.8567218038170985,0.9468159562741942,0.9610223005372627,0.8567218038170985,0.8943389604593134,0.9393666905864775,0.8567218038170985,0.9457663263371197,0.949968702156344,0.9917532399206243,0.9573330580771874,0.9389861200249262,0.9242700521180159,0.9686498831211283,0.8955359002497745,0.950374589702989,0.933782573670529,0.8567218038170985,0.9538216857281482,0.9389231801699215,0.9488537236762551,0.9802404361113676,0.9765079468656122,0.9442101123436819,0.9413085995550478,0.8567218038170985,0.8567218038170985,0.8234411490134148,0.99579029599693,0.9988673964048693,0.8261750954176096,0.932148601649492,0.875965129703362,0.8567218038170985,0.8567218038170985,0.968831562611305,0.9624595033884892,0.9445029483209992,0.8261750954176096,0.9961840104184799,0.9590752042999313,0.9273604598478097,0.8567218038170985,0.8567218038170985,0.990644423871833,0.9330137591629359,0.9327762628419533,0.8705110060885412,0.9567188386651657
California/Milwaukee,0.90823855079087,0.8368876593387663,0.9718783428549456,0.9273535070129978,0.9622578980647467,0.9315922679869204,0.9479673042459945,0.9948927604633244,1.0,0.9848823930578439,0.9481642448398057,0.9841217155196202,0.9963261067027237,0.9894705192413142,0.9814888371323885,0.9914430155063125,0.9702154321000743,0.9905557145455737,0.9437125081086228,0.9403365523001558,0.9179956147291505,0.951890172702958,0.9553904809088986,0.9178550825890819,0.928371436643943,0.9086950581054479,0.9422435888102921,0.9429781501036686,0.9093661816681641,0.9239305885763784,0.8711061648276909,0.9402244038621792,0.9728819478769589,0.9686696190385342,0.8368876593387663,0.9843321270383608,0.9977831931146764,0.9521944979739714,0.9764806369581216,0.8368876593387663,0.971480206201997,0.9896981128334146,0.9276111718830244,0.9792986174423188,0.9928710975822869,0.9273909704433831,0.8368876593387663,0.9573818011500016,0.952750469185314,0.9980592394177789,0.9563314248657987,0.8368876593387663,0.8368876593387663,0.8368876593387663,0.8931948275714878,0.9532750720806876,0.938505431355993,0.9487812997291877,0.9139842704732498,0.8171529255586444,0.8956397873375869,0.9876999806632876,0.9828752544269594,0.9896867960176755,0.9822656794981227,0.9789629978278286,0.9155531655308694,0.9685931074765676,0.9614024021703832,0.8802716712397592,0.9428112179709801,0.9950983265273932,0.926573184060254,0.9581676274813294,0.9336397094793862,0.8372509001701283,0.9265796819145987,0.9133472524189749,0.964625215887294,0.9585227350370504,0.8714554716540696,0.9562587414042628,0.9102001068201842,0.92318788597275,0.9117394977759106,0.9513398250650322,0.8368876593387663,0.8744164725938659,0.9176363096425069,0.9945220795676719,0.9761644021977444,0.9882848310006348,0.9949664087082356,0.9629798395740166,0.8368876593387663,0.8368876593387663,0.9434209498310414,0.9664542842561646,0.8368876593387663,0.8931948275714878,0.9358236594195588,0.8368876593387663,0.9533782236007472,0.9388134531921205,0.9811877184736364,0.9646813015840349,0.9241125197509372,0.9031809544014318,0.9590110924939497,0.9058716495034295,0.9495922558852126,0.9440970134258384,0.8368876593387663,0.9314932823622181,0.9143178126541295,0.9437125081086228,0.982681417714433,0.9625778357274709,0.9377711377511806,0.9251978993413167,0.8368876593387663,0.8368876593387663,0.8117355987649126,0.9938102601541721,0.9957442628313852,0.8171529255586444,0.9083414943235487,0.9058973982536795,0.8368876593387663,0.8368876593387663,0.9834403460519132,0.9772903062047653,0.9319777166751662,0.8171529255586444,0.9871850369599309,0.9394909334115902,0.9018567011469807,0.8368876593387663,0.8368876593387663,0.9985146251613267,0.9277037293345956,0.9258208861544965,0.8814588395548689,0.9519976098928185
Belmont-O'Hare,0.9398486455716045,0.8952332544090698,0.9847298846172626,0.9628795394417007,0.9804215148860002,0.9592640836609342,0.9696963493025501,0.9906504810994184,0.9848823930578439,1.0,0.9834834909004573,0.9833115695058964,0.9761534949940989,0.9920910867753399,0.9835720045610862,0.9837898934702402,0.9509987254042461,0.9808466305374733,0.9623110261169403,0.9734725882774746,0.9404158581070077,0.9578966564118033,0.9855028681673029,0.9487928254334255,0.9682014786109092,0.9415229845651678,0.9464620881756486,0.9736687473667336,0.904550377626794,0.9658344274139449,0.9362870559132971,0.9543068161299202,0.9838585986137958,0.9592826418963448,0.8952332544090698,0.9958267819802105,0.9781491405340005,0.9612329580138985,0.9840334437071776,0.8952332544090698,0.9764148466374197,0.9713753359397336,0.9232934524972574,0.9664643274196127,0.9906332450632858,0.9178860626869553,0.8952332544090698,0.9303814904244113,0.9213693631636851,0.987841865660744,0.9379620420884873,0.8952332544090698,0.8952332544090698,0.8952332544090698,0.9088069476295297,0.9889140374543214,0.9782799456586353,0.9548008184005823,0.9566968752631355,0.8320413563048026,0.9185777650686628,0.9840991903421983,0.9874412309019396,0.9800488231593406,0.9862847884673785,0.9811538030526358,0.9404371134037173,0.9912198739307106,0.9920511734779285,0.8811470868429278,0.9712278280670815,0.9928788895478211,0.9654838143170681,0.9767181741998019,0.9725320812749377,0.9076412022189878,0.9489546838890643,0.9532786517486476,0.9759696397684259,0.982993823892501,0.9369039107775717,0.9659919829452288,0.9322711359518402,0.9547248285663588,0.9651107772973152,0.9731214292115158,0.8952332544090698,0.8696322309780432,0.9597970173470716,0.9731388481719723,0.9898932917707834,0.9644372260888407,0.9798505970742653,0.990809440517527,0.8952332544090698,0.8952332544090698,0.9788926763689446,0.9760179228623832,0.8952332544090698,0.9088069476295297,0.9612224852083581,0.8952332544090698,0.97270343955281,0.9800465341240551,0.9845373110337263,0.9695882377004047,0.9695484934922163,0.9508247933434935,0.9875051565965013,0.9009660820804725,0.9761363677718017,0.9520207146057202,0.8952332544090698,0.960645072088765,0.9505171780591805,0.9623110261169403,0.9854198805280637,0.9472549144500108,0.9756645392444044,0.9717452823830786,0.8952332544090698,0.8952332544090698,0.883165328717244,0.9946623751434431,0.9926734735045627,0.8320413563048026,0.9506003486690696,0.8504328002795108,0.8952332544090698,0.8952332544090698,0.9731421801335237,0.9619815566061106,0.9431442096291793,0.8320413563048026,0.9835225279394626,0.9616633456695832,0.922374029796712,0.8952332544090698,0.8952332544090698,0.9822379462156388,0.9696916611547954,0.9663064240110928,0.9038295153501218,0.9669158287475218
