station_id,stationame,age,,,,
40900,Howard,1410,,,,
41190,Jarvis,1410,,,,
40100,Morse,1410,,,,
41300,Loyola,1410,,,,
40760,Granville,1410,,,,
40880,Thorndale,1341,,,,
41380,Bryn Mawr,1410,,,,
40340,Berwyn,1318,,,,
41200,Argyle,1410,,,,
40770,Lawrence,993,,,,
40540,Wilson,1505,,,,
40080,Sheridan,1505,,,,
41420,Addison-North Main,1505,,,,
41320,Belmont-North Main,1505,,,,
41220,Fullerton,1505,,,,
40650,North/Clybourn,985,,,,
40630,Clark/Division,985,,,,
41450,Chicago/State,985,,,,
40330,Grand/State,985,,,,
41660,Lake/State,336,,,,
40500,Washington/State,985,,,,
41090,Monroe/State,985,,,,
40560,Jackson/State,985,,,,
41490,Harrison,985,,,,
41400,Roosevelt/Wabash,985,,,,
41000,Cermak-Chinatown,674,,,,
40190,Sox-35th-Dan Ryan,674,,,,
41230,47th-Dan Ryan,674,,,,
41170,Garfield-Dan Ryan,674,,,,
40910,63rd-Dan Ryan,674,,,,
40990,69th,674,,,,
40240,79th,674,,,,
41430,87th,674,,,,
40450,95th/Dan Ryan,674,,,,
41050,Linden,1363,,,,
41250,Central-Evanston,1410,,,,
40400,Noyes,1410,,,,
40520,Foster,1402,,,,
40050,Davis,1410,,,,
40690,Dempster,1410,,,,
40270,Main,1410,,,,
40840,South Boulevard,1312,,,,
40140,Skokie,,,,,
40890,O'Hare Airport,494,,,,
40820,Rosemont,513,,,,
40230,Cumberland,513,,,,
40750,Harlem-O'Hare,513,,,,
41280,Jefferson Park,669,,,,
41330,Montrose-O'Hare,669,,,,
40550,Irving Park-O'Hare,669,,,,
41240,Addison-O'Hare,669,,,,
40060,Belmont-O'Hare,669,,,,
41020,Logan Square,669,,,,
40570,California/Milwaukee,1566,,,,
40670,Western/Milwaukee,1566,,,,
40590,Damen/Milwaukee,1566,,,,
40320,Division/Milwaukee,897,,,,
41410,Chicago/Milwaukee,897,,,,
40490,Grand/Milwaukee,897,,,,
40370,Washington/Dearborn,897,,,,
40790,Monroe/Dearborn,897,,,,
40070,Jackson/Dearborn,897,,,,
41340,LaSalle,897,,,,
40430,Clinton-Congress,809,,,,
40350,UIC-Halsted,809,,,,
40470,Racine,809,,,,
40810,Illinois Medical District,809,,,,
40220,Western-Congress,809,,,,
40250,Kedzie-Homan,809,,,,
40920,Pulaski-Congress,809,,,,
40970,Cicero-Congress,809,,,,
40010,Austin-Congress,779,,,,
40180,Oak Park-Congress,776,,,,
40980,Harlem-Congress,779,,,,
40390,Forest Park,1448,,,,
41030,Polk,1555,,,,
40830,18th,1555,,,,
40210,Damen,1551,,,,
40740,Western-Douglas,1551,,,,
40440,California-Douglas,1484,,,,
41040,Kedzie-Douglas,1484,,,,
40780,Central Park,887,,,,
40150,Pulaski-Douglas,1481,,,,
40600,Kostner,1422,,,,
40420,Cicero-Douglas,1415,,,,
40580,54th/Cermak,1359,,,,
40020,Harlem-Lake,757,,,,
41350,Oak Park-Lake,1498,,,,
40610,Ridgeland,1498,,,,
41260,Austin-Lake,1519,,,,
40280,Central-Lake,1519,,,,
40700,Laramie,1579,,,,
